,Mean Accuracy,Best Accuracy,Best Fold
2,10.238,10.47,1
4,10.244000000000002,10.43,1
8,10.562,10.94,3
16,10.440000000000001,11.03,2
32,10.314,10.51,0
64,9.937999999999999,10.25,0
128,10.196000000000002,10.64,2
