,Mean Accuracy,Best Accuracy,Best Fold
2,15.012,16.01,1
4,50.074,53.98,1
8,90.59599999999999,92.49,1
16,96.36600000000001,96.69,0
32,97.982,98.23,0
64,98.412,98.56,0
128,98.428,98.58,0
