,Mean Accuracy,Best Accuracy,Best Fold
2,10.184000000000001,10.28,0
4,9.536,9.8,0
8,9.404,9.8,2
16,9.622,10.09,0
32,9.81,10.09,0
64,9.884,10.1,0
128,9.956,10.1,0
