,Mean Accuracy,Best Accuracy,Best Fold
2,36.54,55.6,2
4,69.67999999999999,71.85,2
8,79.10999999999999,79.74,1
16,83.262,83.9,2
32,85.696,86.24,2
64,86.5,86.88,2
128,86.83399999999999,87.21,0
