,Mean Accuracy,Best Accuracy,Best Fold
2,9.912,10.23,3
4,9.898,10.17,3
8,10.027999999999999,10.61,1
16,9.830000000000002,10.2,3
32,10.214,10.43,2
64,9.874,10.34,0
128,10.074,10.77,2
