,Mean Accuracy,Best Accuracy,Best Fold
2,10.924000000000001,13.18,1
4,15.95,18.89,4
8,26.532,29.24,2
16,36.278000000000006,36.93,4
32,40.394,41.21,4
64,42.85799999999999,44.65,0
128,43.62,45.82,4
