,Mean Accuracy,Best Accuracy,Best Fold
2,40.007999999999996,55.81,2
4,69.076,70.86,2
8,78.876,79.63,1
16,83.124,83.77,2
32,85.52799999999999,86.27,2
64,86.522,86.94,2
128,86.794,87.24,0
