,Mean Accuracy,Best Accuracy,Best Fold
2,10.0,10.0,0
4,10.0,10.0,0
8,10.0,10.0,0
16,10.0,10.0,0
32,10.0,10.0,0
64,10.0,10.0,0
128,10.0,10.0,0
