,Mean Accuracy,Best Accuracy,Best Fold
2,13.791999999999998,25.48,1
4,43.34400000000001,54.61,2
8,89.41199999999999,92.07,0
16,96.29599999999999,96.52,0
32,97.978,98.2,0
64,98.4,98.56,0
128,98.436,98.52,0
