,Mean Accuracy,Best Accuracy,Best Fold
2,12.128,12.71,4
4,19.308,20.41,3
8,25.946000000000005,27.92,3
16,33.788,36.0,1
32,38.814,40.72,3
64,41.023999999999994,43.62,0
128,41.967999999999996,44.36,0
